id,anat_t22anat_t1,t2_issues,t2_action,postop_tra2anat_t1,postop_tra_issues,postop_tra_action
SUBJECT_001,nice,NA,NA,nice,NA,NA
SUBJECT_002,nice,NA,NA,good,NA,NA
SUBJECT_003,NA,NA,NA,nice,NA,NA
SUBJECT_004,good,NA,NA,good,NA,NA
SUBJECT_005,crap,too_low,fsl_flirt,nice,NA,NA
SUBJECT_006,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_007,nice,NA,NA,nice,NA,NA
SUBJECT_008,NA,NA,NA,nice,NA,NA
SUBJECT_009,nice,NA,NA,good,NA,NA
SUBJECT_010,good,NA,NA,good,NA,NA
SUBJECT_011,nice,NA,NA,nice,NA,NA
SUBJECT_012,nice,NA,NA,nice,NA,NA
SUBJECT_013,NA,NA,NA,nice,NA,NA
SUBJECT_014,nice,NA,NA,nice,NA,NA
SUBJECT_015,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_016,nice,NA,NA,crap,out_of_frame,fsl_flirt
SUBJECT_017,nice,NA,NA,nice,NA,NA
SUBJECT_018,nice,NA,NA,nice,NA,NA
SUBJECT_019,NA,NA,NA,nice,NA,NA
SUBJECT_020,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_021,nice,NA,NA,nice,NA,NA
SUBJECT_022,nice,NA,NA,nice,NA,NA
SUBJECT_023,NA,NA,NA,nice,NA,NA
SUBJECT_024,crap,all_over,fsl_flirt,nice,NA,NA
SUBJECT_025,nice,NA,NA,nice,NA,NA
SUBJECT_026,nice,NA,NA,good,NA,NA
SUBJECT_027,crap,all_over,ANTs,good,NA,NA
SUBJECT_028,NA,NA,NA,good,NA,NA
SUBJECT_029,nice,NA,NA,crap,out_of_frame,fsl_flirt
SUBJECT_030,nice,NA,NA,good,NA,NA
SUBJECT_031,nice,NA,NA,nice,NA,NA
SUBJECT_032,nice,NA,NA,good,NA,NA
SUBJECT_033,nice,NA,NA,good,NA,NA
SUBJECT_034,nice,NA,NA,nice,NA,NA
SUBJECT_035,good,NA,NA,good,NA,NA
SUBJECT_036,nice,NA,NA,good,NA,NA
SUBJECT_037,nice,NA,NA,nice,NA,NA
SUBJECT_038,nice,NA,NA,nice,NA,NA
SUBJECT_039,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_040,nice,NA,NA,good,NA,NA
SUBJECT_041,nice,NA,NA,nice,NA,NA
SUBJECT_042,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_043,nice,NA,NA,nice,NA,NA
SUBJECT_044,nice,NA,NA,nice,NA,NA
SUBJECT_045,nice,NA,NA,good,NA,NA
SUBJECT_046,nice,NA,NA,nice,NA,NA
SUBJECT_047,nice,NA,NA,good,NA,NA
SUBJECT_048,nice,NA,NA,good,NA,NA
SUBJECT_049,nice,NA,NA,nice,NA,NA
SUBJECT_050,good,NA,NA,good,NA,NA
SUBJECT_051,good,NA,NA,good,NA,NA
SUBJECT_052,nice,NA,NA,nice,NA,NA
SUBJECT_053,crap,all_over,ANTs,nice,NA,NA
SUBJECT_054,nice,NA,NA,nice,NA,NA
SUBJECT_055,good,NA,NA,good,NA,NA
SUBJECT_056,nice,NA,NA,good,NA,NA
SUBJECT_057,nice,NA,NA,nice,NA,NA
SUBJECT_058,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_059,nice,NA,NA,good,NA,NA
SUBJECT_060,nice,NA,NA,crap,rotated,fsl_flirt
SUBJECT_061,nice,NA,NA,crap,rotated,fsl_flirt
SUBJECT_062,nice,NA,NA,good,NA,NA
SUBJECT_063,good,NA,NA,good,NA,NA
SUBJECT_064,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_065,nice,NA,NA,crap,out_of_frame,fsl_flirt
SUBJECT_066,nice,NA,NA,nice,NA,NA
SUBJECT_067,NA,NA,NA,good,NA,NA
SUBJECT_068,nice,NA,NA,nice,NA,NA
SUBJECT_069,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_070,nice,NA,NA,nice,NA,NA
SUBJECT_071,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_072,nice,NA,NA,nice,NA,NA
SUBJECT_073,nice,NA,NA,nice,NA,NA
SUBJECT_074,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_075,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_076,nice,NA,NA,nice,NA,NA
SUBJECT_077,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_078,nice,NA,NA,good,NA,NA
SUBJECT_079,nice,NA,NA,nice,NA,NA
SUBJECT_080,NA,NA,NA,good,NA,NA
SUBJECT_081,nice,NA,NA,nice,NA,NA
SUBJECT_082,nice,NA,NA,nice,NA,NA
SUBJECT_083,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_084,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_085,nice,NA,NA,nice,NA,NA
SUBJECT_086,crap,rotated,ANTs,good,NA,NA
SUBJECT_087,nice,NA,NA,nice,NA,NA
SUBJECT_088,nice,NA,NA,good,NA,NA
SUBJECT_089,crap,out_of_frame,ANTs,good,NA,NA
SUBJECT_090,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_091,nice,NA,NA,nice,NA,NA
SUBJECT_092,nice,NA,NA,nice,NA,NA
SUBJECT_093,nice,NA,NA,nice,NA,NA
SUBJECT_094,nice,NA,NA,nice,NA,NA
SUBJECT_095,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_096,nice,NA,NA,nice,NA,NA
SUBJECT_097,nice,NA,NA,nice,NA,NA
SUBJECT_098,nice,NA,NA,good,NA,NA
SUBJECT_099,nice,NA,NA,crap,all_over,fsl_flirt
SUBJECT_100,nice,NA,NA,nice,NA,NA
SUBJECT_101,nice,NA,NA,nice,NA,NA
SUBJECT_102,NA,NA,NA,nice,NA,NA
SUBJECT_103,nice,NA,NA,nice,NA,NA
SUBJECT_104,nice,NA,NA,nice,NA,NA
SUBJECT_105,nice,NA,NA,crap,shifted,fsl_flirt
SUBJECT_106,good,NA,NA,nice,NA,NA
SUBJECT_107,nice,NA,NA,crao,all_over,fsl_flirt
SUBJECT_108,nice,NA,NA,good,NA,NA
SUBJECT_109,NA,NA,NA,NA,NA,NA
SUBJECT_110,nice,NA,NA,nice,NA,NA
SUBJECT_111,nice,NA,NA,nice,NA,NA
SUBJECT_112,nice,NA,NA,nice,NA,NA
SUBJECT_113,nice,NA,NA,good,NA,NA